id,naziv_broda,pozivni_znak,bruto_tonaža,neto_tonaža,kapacitet_tereta,id_tipa_broda,id_drzava,id_kapetan,godina_proizvodnje,zadnja_inspekcija
1,Marko Polo,HRXF,45000.50,28000.25,35000.00,1,1,1,2010,2026-03-15
2,Leonardo da Vinci,ITVW,52000.75,31500.50,40000.00,2,2,2,2012,2026-04-01
3,Cristoforo Colombo,GRCT,38000.00,22500.00,30000.00,1,3,3,2008,2026-02-20
4,Nikola Tesla,SLOV,41000.25,24500.75,32000.00,3,4,4,2015,2026-04-10
5,Fridtjov Nansen,NORF,48000.50,28500.00,37000.00,1,5,5,2011,2026-03-25
6,Émile Zola,FRVX,39000.75,23000.50,31000.00,2,6,6,2013,2026-04-05
7,Cervantes,ESCT,36000.00,21000.00,28000.00,1,7,7,2009,2026-02-28
8,Vasco da Gama,PTPT,43000.25,25500.75,33000.00,2,8,8,2014,2026-03-30
9,Jan Van Eyck,BEBG,47000.50,27500.00,36000.00,3,9,9,2016,2026-04-08
10,Emirates Harmony,AEVX,55000.00,32000.00,42000.00,2,10,10,2017,2026-04-12
11,Blue Ocean,TRTR,50000.75,29500.50,38000.00,1,11,11,2018,2026-04-15
12,Siberia,RURU,60000.00,35000.00,45000.00,5,12,12,2019,2026-04-18
13,Pacific Queen,CAVX,52000.25,30500.75,40000.00,3,13,13,2020,2026-04-20
14,Golden Eagle,USUS,48000.50,28000.00,37000.00,2,14,14,2021,2026-04-22
15,Sydney Express,AUAU,51000.75,29500.50,39000.00,1,15,15,2022,2026-04-25
