id,id_zaposlenik,smjena,datum,vrijeme_pocetka,vrijeme_kraja
1,1,jutarnja,2026-04-20,06:00:00,14:00:00
2,1,jutarnja,2026-04-21,06:00:00,14:00:00
3,2,popodnevna,2026-04-20,14:00:00,22:00:00
4,2,popodnevna,2026-04-21,14:00:00,22:00:00
5,3,nocna,2026-04-20,22:00:00,06:00:00
6,3,nocna,2026-04-21,22:00:00,06:00:00
7,4,jutarnja,2026-04-20,06:00:00,14:00:00
8,4,jutarnja,2026-04-21,06:00:00,14:00:00
9,5,popodnevna,2026-04-20,14:00:00,22:00:00
10,5,popodnevna,2026-04-21,14:00:00,22:00:00
11,6,nocna,2026-04-20,22:00:00,06:00:00
12,6,nocna,2026-04-21,22:00:00,06:00:00
13,7,jutarnja,2026-04-20,06:00:00,14:00:00
14,7,popodnevna,2026-04-22,14:00:00,22:00:00
15,8,jutarnja,2026-04-20,06:00:00,14:00:00
16,8,popodnevna,2026-04-21,14:00:00,22:00:00
17,9,nocna,2026-04-20,22:00:00,06:00:00
18,9,jutarnja,2026-04-22,06:00:00,14:00:00
19,10,popodnevna,2026-04-20,14:00:00,22:00:00
20,10,nocna,2026-04-21,22:00:00,06:00:00
21,11,jutarnja,2026-04-20,06:00:00,14:00:00
22,12,popodnevna,2026-04-20,14:00:00,22:00:00
23,13,nocna,2026-04-20,22:00:00,06:00:00
24,14,jutarnja,2026-04-21,06:00:00,14:00:00
25,15,popodnevna,2026-04-21,14:00:00,22:00:00
26,16,nocna,2026-04-21,22:00:00,06:00:00
27,17,jutarnja,2026-04-21,06:00:00,14:00:00
28,18,popodnevna,2026-04-21,14:00:00,22:00:00
29,19,nocna,2026-04-21,22:00:00,06:00:00
30,20,jutarnja,2026-04-22,06:00:00,14:00:00
31,1,popodnevna,2026-04-23,14:00:00,22:00:00
32,2,nocna,2026-04-23,22:00:00,06:00:00
33,3,jutarnja,2026-04-23,06:00:00,14:00:00
34,4,popodnevna,2026-04-23,14:00:00,22:00:00
35,5,nocna,2026-04-23,22:00:00,06:00:00
36,6,jutarnja,2026-04-23,06:00:00,14:00:00
37,7,popodnevna,2026-04-23,14:00:00,22:00:00
38,8,nocna,2026-04-23,22:00:00,06:00:00
39,9,jutarnja,2026-04-24,06:00:00,14:00:00
40,10,popodnevna,2026-04-24,14:00:00,22:00:00
41,11,nocna,2026-04-24,22:00:00,06:00:00
42,12,jutarnja,2026-04-24,06:00:00,14:00:00
43,13,popodnevna,2026-04-24,14:00:00,22:00:00
44,14,nocna,2026-04-24,22:00:00,06:00:00
45,15,jutarnja,2026-04-24,06:00:00,14:00:00
46,16,popodnevna,2026-04-24,14:00:00,22:00:00
47,17,nocna,2026-04-24,22:00:00,06:00:00
48,18,jutarnja,2026-04-25,06:00:00,14:00:00
49,19,popodnevna,2026-04-25,14:00:00,22:00:00
50,20,nocna,2026-04-25,22:00:00,06:00:00
